taxa_clean,n,r2,p,slope,slope_se,slope_ci_lower,slope_ci_upper,intercept,intercept_se,intercept_ci_lower,intercept_ci_upper,a,a_ci_lower,a_ci_upper,sf,mean_dm_wm,sd_dm_wm,lower_ci_mean_dm_wm,upper_ci_mean_dm_wm,geom_mean,min_dm_wm,median_dm_wm,max_dm_wm,range_wm,ols_total_PE,ols_MPE,ols_MAPE,ratio_total_PE,ratio_MPE,ratio_MAPE
Arthritica,16,0.9867855042227319,9.143140919964248e-15,0.9760984126379748,0.02915198420312629,0.9135736249927194,1.0386232002832303,-0.541172988261287,0.09233186943476913,-0.7392051526955447,-0.3431408238270294,0.5820650962600502,0.47749329898669296,0.7095382846276621,1.014403608380306,0.6313025699025482,0.11519135015031742,0.6039446242418478,0.6586605155632486,0.6218688142953893,0.5059078377313904,0.5935558128085372,0.8523936170212766,0.004-0.303,2.3134178481274708,2.8546166431552304,15.272499163494288,5.235196141794026,2.992949865781415,15.693611008966341
Arthritica_outliers_removed,12,0.9881001748020736,3.662746955427134e-11,0.933959725988268,0.03088616590926882,0.8651410597369322,1.0027783922396039,-0.6622650662017476,0.09916795670813691,-0.8832250434152403,-0.44130508898825493,0.5156819568614477,0.41344737352534366,0.6431964444832807,1.0097351882183485,0.6327673980962685,0.1150441216314011,0.6012175396647961,0.6643172565277409,0.6237621757496331,0.5059078377313904,0.5935558128085372,0.8523936170212766,0.004-0.254,2.2861308095269615,1.9319598234794517,11.465999944613841,10.628887488794042,2.822818933923694,14.650642866332626
Capitella,17,0.9622711760247482,2.6815323220639207e-12,0.8843663366079997,0.04372488111350298,0.7911689586289685,0.9775637145870308,-2.061988579239021,0.12711092545404307,-2.332919103533724,-1.7910580549443185,0.12720076941440542,0.09701214486390201,0.16678361005537654,1.0298409527959362,0.17957005041740512,0.07365100074945823,0.1626002084911499,0.19653989234366034,0.17078569491164977,0.10370143774854695,0.16604477611940296,0.44999999999999996,0.005-0.337,0.4349616156500244,5.824115782382643,16.597153364151037,14.674333423174268,8.902391168762067,17.95889280085319
Capitella_outliers_removed,12,0.9848984609077983,1.2070977560624537e-10,0.9714993811437892,0.03624587491406041,0.8907385390235365,1.052260223264042,-1.8689621883397334,0.09785011733981593,-2.0869858364559932,-1.6509385402234737,0.1542836961768857,0.12406051149809869,0.19186974661446865,1.0072461980998304,0.1668895293044617,0.021890924415033694,0.1608861320301427,0.17289292657878066,0.16556410445738695,0.12272727272727274,0.1653243682577213,0.2160493827160494,0.008-0.256,0.030408976344653196,1.5371328022783342,8.442907901409145,2.008653494846759,1.6308909554483595,8.89198302310344
Hydrobiidae,13,0.9613592162738449,2.5056121118375347e-9,1.081257361309339,0.06247301310096149,0.9437551865679122,1.218759536050766,-0.08345897789231978,0.20412872830396844,-0.5327432796377324,0.36582532385309285,0.9199288233164611,0.5869924744243138,1.4417033894657294,1.0220832918923253,0.7331744208147,0.14145715480896112,0.6959029228379532,0.7704459187914467,0.7158766065141299,0.33557046979865773,0.7527777777777778,0.8692956349206349,0.008-0.397,1.7674692680470643,5.141763474111599,15.920010697002917,-7.620108096570055,6.003556061672744,17.343192513218717
Hydrobiidae_outliers_removed,8,0.9828313757037925,1.001445836824684e-6,1.0930423788370789,0.05453496086468059,0.9596001367955649,1.226484620878593,0.0063555985719511675,0.18229871414087234,-0.4397132855078383,0.4524244826517406,1.0063758382442465,0.6442211021326474,1.5721191442643432,1.00256505342561,0.7431745772639232,0.06946563413626981,0.7198427573092627,0.7665063972185837,0.7403469391057744,0.6363636363636364,0.7345303362573099,0.8612487611496531,0.018-0.101,-0.43544598486812197,0.5141511014127768,7.025980695346311,-3.239374471116121,0.7648254820172211,7.331718446805602
Salinator,22,0.9924591510367354,6.452537009913272e-23,1.0057352430637638,0.019127106202650013,0.9658367986730637,1.045633687454464,-0.6060919822765488,0.058453159062116046,-0.7280231354573403,-0.4841608290957573,0.5454784485021457,0.48286260115489255,0.6162140887876736,1.0249606134518754,0.5541106152645929,0.12177103566117997,0.5294470268319812,0.5787742036972047,0.5407701665767876,0.2545454545454546,0.533105345383238,0.8681818181818182,0.004-12.661,5.233362541557467,5.376241934280212,15.691168928484815,3.3250122669124185,5.40954458418606,15.282114799895947
Salinator_outliers_removed,16,0.9949102889026302,1.1458854817673533e-17,0.97395525672657135,0.01798348825879481,0.9353845105067821,1.0125260029463605,-0.6135637015663944,0.05239155556821145,-0.7259324125084002,-0.5011949906243885,0.5414179749059063,0.48387318913793903,0.605806294152099,1.012534828304862,0.5753975874205283,0.11089213491442845,0.5490607053783515,0.601734469462705,0.56679921147289,0.4401197604790419,0.5418258884812794,0.8681818181818182,0.010-4.184,-1.2857086013354806,2.473105714285454,11.97747146806381,6.03163289565033,2.8530542912636903,12.673050683702352
Simplisetia,17,0.9879021211878833,5.235396606741546e-16,1.046924866991514,0.028952564922744606,0.9852139356441403,1.108635798338888,-1.7699217813346175,0.06210459946933748,-1.9022946016507087,-1.6375489610185263,0.17034631256554175,0.14922581227517848,0.1944560780890046,1.0214529052589632,0.16557626606726092,0.03801244468680116,0.15681786263755218,0.17433466949696966,0.161568720660141,0.10176991150442478,0.1635135135135135,0.25669617841533116,0.011-2.419,-1.6036126038648018,4.262386028703377,18.06847139099261,-7.998823214018139,5.038346875410108,18.67857170554601
Simplisetia_outliers_removed,14,0.9896340140157408,1.7385678028838955e-13,0.9981116948292916,0.028320477857001796,0.9364066743321494,1.0598167153264337,-1.838663664983354,0.05714864856836686,-1.9631798736822554,-1.7141474562844528,0.1590298012652565,0.14041122033295042,0.18011721307240888,1.013248732457816,0.16148953743859198,0.027198951539459216,0.15458377314979785,0.16839530172738612,0.15937648972148,0.11894510226049516,0.15771829521829522,0.20445344129554655,0.016-2.181,-1.7316748140594844,2.668644514353308,13.875179597346486,-1.4756504413191696,2.6695578944612426,13.925322539685203
