taxa_clean,n,mean_dm_wm,lower_ci_mean_dm_wm,upper_ci_mean_dm_wm,sd_dm_wm,geom_mean,min_dm_wm,median_dm_wm,max_dm_wm,range_wm
Amphipoda,219,0.15823534946317083,0.14886980618859197,0.16760089273774975,0.07032167531029548,0.15075382699569748,0.07655502392344499,0.14695695200395845,0.8118811881188119,0.006-0.473
Arthritica,247,0.5242641408882981,0.5136057830756225,0.5349224987009737,0.0850450011414349,0.5160018310576462,0.1320754716981132,0.5233644859813085,0.7746411483253588,0.005-1.540
Capitella,105,0.07460153319799949,0.06170270024360131,0.08750036615239767,0.06665214573948208,0.06217791373806894,0.020719738276990186,0.057942057942057944,0.46153846153846156,0.004-0.403
Chironomidae,130,0.23280927831390852,0.21383662617715915,0.2517819304506579,0.10933476845213574,0.21436568371277392,0.05629139072847682,0.20628146874616238,0.7586206896551725,0.003-0.130
Hiatula alba,33,0.14335128586040705,0.12562090465860132,0.16108166706221277,0.0500032491921198,0.13613590349382182,0.07042253521126761,0.13863787691429658,0.3372093023255814,0.016-2.200
Hydrobiidae,138,0.5524237775258931,0.5406504412470564,0.5641971138047297,0.0699419452906418,0.5477418154981482,0.3271889400921659,0.5638551783888008,0.6875,0.003-0.679
Mysidacea,44,0.17393975965914418,0.15719239980974284,0.19068711950854553,0.05508496425066238,0.1648591551086741,0.06914893617021275,0.16635047742828096,0.3263888888888889,0.007-0.074
Nephtys,35,0.07005638585427965,0.06558490588043135,0.07452786582812795,0.013016953497736338,0.06882705692090642,0.04186489058039962,0.06889352818371608,0.09908735332464146,0.077-0.646
Phyllodoce,21,0.05715313871008107,0.05013395191319807,0.06417232550696406,0.015420191018165653,0.05509682657008708,0.03112155020551967,0.05375,0.08464460119370591,0.034-0.657
Salinator,65,0.40125782370959484,0.3865030551703062,0.4160125922488835,0.05954596845630743,0.3967404957503718,0.26459143968871596,0.40968063872255495,0.5668449197860962,0.004-0.717
Simplisetia,169,0.08381730636973779,0.07844314311978817,0.0891914696196874,0.03538883918427336,0.07792406724586536,0.022123893805309734,0.07782369146005509,0.33691756272401435,0.014-1.310
Spisula,36,0.19415527754768222,0.13926019947542265,0.24905035561994182,0.16224283637837272,0.15917512963227454,0.056396148555708396,0.16734204599575397,0.9245283018867925,0.005-1.316
